,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
350,Boksitogorsk,0,RU,1554577774,85,59.47,33.85,33.34640000000009,1.76
351,Chapleau,90,CA,1554573600,65,47.85,-83.4,41.0,3.1
352,Carlos Antonio Lopez,80,PY,1554577774,73,-26.4,-54.77,75.64640000000009,1.36
353,Kaitangata,0,NZ,1554577710,75,-46.28,169.85,37.99400000000007,1.79
354,Piopio,92,CL,1554573600,93,-42.79,-73.57,57.2,3.6
355,Ayorou,0,NE,1554577775,14,14.73,0.92,101.56640000000004,3.31
356,Otorohanga,12,NZ,1554577750,11,-38.18,175.2,50.0,2.31
357,Dingle,24,PH,1554577776,93,11.0,122.67,76.27640000000002,3.71
358,Yining,0,CN,1554577776,84,29.04,114.56,49.186400000000006,0.76
359,Simpang,75,MY,1554573600,94,4.82,100.71,78.80000000000001,2.1
360,Tocopilla,8,CL,1554577777,84,-22.09,-70.2,70.15640000000008,2.21
361,Whitehorse,75,CA,1554577465,68,60.72,-135.06,35.00600000000003,5.7
362,Paramonga,68,PE,1554577777,92,-10.68,-77.82,68.9864,3.56
363,Havre,1,US,1554577285,43,48.55,-109.68,57.00200000000008,7.2
364,Raduzhnyy,80,RU,1554577778,82,62.1,77.47,23.626400000000025,6.16
365,Zabol,40,IR,1554573600,47,31.03,61.49,77.0,5.1
366,Gao,20,ML,1554577779,17,16.28,-0.04,97.96640000000005,6.11
367,Hambantota,40,LK,1554574200,100,6.12,81.12,78.80000000000001,2.21
368,Ribeira Brava,20,PT,1554577685,63,32.65,-17.07,66.2,2.6
369,Port Hedland,24,AU,1554577200,73,-20.31,118.58,75.2,3.6
370,Charters Towers,0,AU,1554577780,81,-20.07,146.27,66.82640000000004,4.26
371,Altay,44,CN,1554577780,81,47.83,88.13,27.496400000000087,2.11
372,Katsuura,20,JP,1554577502,76,33.93,134.5,51.8,3.1
373,Carnduff,92,CA,1554577321,98,49.17,-101.8,35.00600000000003,3.58
374,Jiayuguan,48,CN,1554577781,55,39.77,98.29,38.65640000000006,1.86
375,Valparaiso,90,US,1554577656,59,41.47,-87.06,68.0,3.21
376,Umba,0,RU,1554577782,76,66.69,34.34,27.766400000000043,2.41
377,Dubovskoye,0,RU,1554577782,65,47.41,42.76,45.49640000000009,2.86
378,Inhambane,20,MZ,1554573600,83,-23.87,35.38,78.80000000000001,2.1
379,Mahibadhoo,64,MV,1554577782,100,3.78,72.97,83.02640000000002,0.26
380,Marsa Matruh,0,EG,1554573600,72,31.35,27.25,66.2,3.1
381,North Bend,90,US,1554577525,87,43.41,-124.22,55.99400000000007,9.8
382,Bosaso,0,SO,1554577783,100,11.28,49.18,80.41640000000004,0.01
383,Choya,92,RU,1554577783,88,52.01,86.55,33.8864,3.66
384,Lata,44,IN,1554577784,97,30.78,78.62,47.3864,0.96
385,Oliva,0,AR,1554577784,60,-32.04,-63.57,74.11640000000006,3.66
386,Ornskoldsvik,92,SE,1554574800,69,63.29,18.72,37.4,1.0
387,Esperance,75,TT,1554577258,62,10.24,-61.45,87.00800000000001,8.2
388,Quatre Cocos,75,MU,1554577740,74,-20.21,57.76,80.6,5.1
389,Klaksvik,76,FO,1554574800,98,62.23,-6.59,41.0,5.1
390,Hovd,75,NO,1554577777,60,63.83,10.7,42.998000000000026,5.7
391,Hasaki,20,JP,1554577663,87,35.73,140.83,51.998000000000026,5.1
392,Sunland Park,20,US,1554577696,18,31.8,-106.58,73.00400000000005,6.2
393,Kostyantynivka,8,UA,1554577787,49,48.53,37.71,46.666400000000046,4.31
394,Salalah,75,OM,1554573000,74,17.01,54.1,82.4,2.6
395,Juneau,90,US,1554573180,86,58.3,-134.42,41.0,1.5
396,Cidreira,92,BR,1554577787,90,-30.17,-50.22,71.6864,3.51
397,Lagoa,40,PT,1554577628,58,37.14,-8.45,59.0,7.7
398,Kinchil,75,MX,1554577313,36,20.92,-89.95,96.99800000000003,9.3
399,Cayenne,75,GF,1554575400,74,4.94,-52.33,82.4,7.2
400,Asotthalom,0,HU,1554577468,81,46.2,19.78,51.8,2.1
401,Calvinia,0,ZA,1554577790,48,-31.47,19.78,58.99640000000009,1.16
402,Half Moon Bay,75,US,1554577739,63,37.46,-122.43,66.00200000000008,4.1
403,Yumen,76,CN,1554577790,36,40.29,97.04,50.26640000000005,2.76
404,San Quintin,8,PH,1554577790,85,17.54,120.52,70.24640000000008,1.91
405,Padang,40,ID,1554575400,94,-0.92,100.36,77.0,1.5
406,Santa Vitoria do Palmar,80,BR,1554577791,82,-33.52,-53.37,70.6964000000001,4.36
407,Rio Grande,90,BR,1554573600,94,-32.03,-52.1,68.0,2.6
408,Menongue,20,AO,1554577792,73,-14.66,17.68,70.60640000000006,0.26
409,Muramatsu,100,JP,1554577203,74,37.68,139.18,44.99600000000005,1.96
410,Tucumcari,1,US,1554577218,18,35.17,-103.73,73.4,5.1
411,Plettenberg Bay,0,ZA,1554577793,94,-34.05,23.37,64.66640000000004,8.46
412,Piacabucu,32,BR,1554577783,60,-10.41,-36.43,88.78640000000001,5.71
413,Chiredzi,12,ZW,1554577793,58,-21.05,31.67,79.42640000000003,4.31
414,Ikauna,12,IN,1554577794,74,27.53,81.97,70.6964000000001,3.76
415,Nizhniy Odes,8,RU,1554577794,76,63.64,54.86,24.256400000000063,1.76
416,San Patricio,76,PY,1554577794,79,-26.98,-56.83,71.59640000000009,2.11
417,Kulhudhuffushi,0,MV,1554577795,100,6.62,73.07,84.64640000000009,2.21
418,Straumen,75,NO,1554577517,60,63.87,11.3,42.998000000000026,5.7
419,Evensk,0,RU,1554577795,90,61.92,159.24,23.446400000000082,1.96
420,Santiago,0,CL,1554577312,23,-33.44,-70.65,84.99199999999999,3.6
421,Moerai,8,PF,1554577796,100,-22.43,-151.33,78.25640000000007,4.26
422,Zhigansk,0,RU,1554577796,69,66.77,123.37,13.546400000000084,1.41
423,Veraval,68,FR,1554577793,66,49.65,0.71,55.400000000000006,4.1
424,Camacha,75,PT,1554575400,82,33.08,-16.33,66.2,6.7
425,Lavumisa,56,ZA,1554577797,70,-27.31,31.88,68.89640000000009,3.01
426,Kasama,76,ZM,1554577797,95,-10.21,31.19,64.39640000000009,0.51
427,Davidson,1,US,1554577495,49,35.5,-80.85,73.99400000000009,1.86
428,Quelimane,40,MZ,1554573600,94,-17.88,36.89,78.80000000000001,3.1
429,Tecoanapa,20,MX,1554572760,70,16.99,-99.26,84.2,2.6
430,Natal,75,BR,1554577200,83,-5.81,-35.21,80.6,4.1
431,Mizdah,0,LY,1554577799,42,31.45,12.98,67.81640000000004,3.11
432,Jalu,0,LY,1554577799,61,29.03,21.55,72.40640000000008,3.66
433,Taicheng,36,CN,1554577532,86,22.25,112.8,73.99400000000009,0.89
434,Moyale,56,ET,1554577800,43,3.52,39.05,80.14640000000009,3.66
435,Lamu,12,ID,1554577800,100,0.57,122.3,72.5864,1.16
436,Hondo,75,US,1554577778,88,29.35,-99.14,78.00800000000001,2.1
437,Lac du Bonnet,44,CA,1554577515,64,50.25,-96.06,41.0,2.68
438,Tirukkoyilur,0,IN,1554577801,86,11.95,79.2,72.22640000000003,1.86
439,Auki,8,NG,1554577801,26,12.18,6.51,94.1864,2.21
440,Hamilton,75,BM,1554577256,83,32.3,-64.78,69.99800000000002,8.7
441,Basco,40,US,1554577634,59,40.33,-91.2,69.99800000000002,2.6
442,Vanimo,36,PG,1554577803,100,-2.67,141.3,80.32640000000004,1.86
443,Westport,75,IE,1554577692,70,53.8,-9.52,51.00800000000001,2.6
444,Nanortalik,44,GL,1554577804,93,60.14,-45.24,33.61640000000004,9.81
445,Fare,80,PF,1554577804,96,-16.7,-151.02,85.00640000000007,6.96
446,Shakawe,20,BW,1554577804,52,-18.36,21.84,76.81640000000004,1.76
447,Portland,75,US,1554577505,71,45.52,-122.67,55.99400000000007,3.1
448,Tommot,80,RU,1554577805,69,58.97,126.27,25.066400000000044,1.61
449,Sovetskiy,48,RU,1554577805,91,56.76,48.47,30.826400000000024,3.81
450,Airai,0,TL,1554577806,83,-8.93,125.41,67.1864,0.86
451,Port Hardy,90,CA,1554573600,76,50.7,-127.42,48.2,12.9
452,Murgab,75,TM,1554573600,56,37.5,61.97,68.0,4.1
453,Kattivakkam,20,IN,1554575400,83,13.22,80.32,84.2,2.6
454,Levelland,20,US,1554577355,49,33.59,-102.38,75.99199999999999,5.1
455,Bubaque,56,GW,1554577753,74,11.28,-15.83,88.51640000000005,1.31
456,Lagunas,36,PE,1554577808,68,-5.23,-75.68,90.22640000000003,1.41
457,Dongning,0,CN,1554577808,66,44.06,131.12,33.166400000000046,3.41
458,Husavik,64,CA,1554577804,64,50.56,-96.99,42.998000000000026,2.68
459,Raudeberg,12,NO,1554577805,65,61.99,5.14,46.4,4.6
460,Sao Jose da Coroa Grande,64,BR,1554577701,75,-8.9,-35.15,85.36640000000006,4.96
461,Linxia,0,CN,1554577809,53,35.6,103.21,29.026400000000024,1.61
462,Nome,90,US,1554577807,74,30.04,-94.42,82.4,4.1
463,Guararapes,68,BR,1554577810,91,-21.25,-50.65,80.86640000000006,1.86
464,Ewing,20,US,1554577807,55,40.27,-74.8,66.99199999999999,2.1
465,Stuttgart,0,DE,1554577689,66,48.78,9.18,59.0,0.5
466,Riyadh,0,SA,1554573600,20,24.63,46.72,84.2,2.6
467,Ayagoz,0,KZ,1554577811,73,47.96,80.43,32.9864,4.56
468,Beihai,0,CN,1554575400,38,38.95,121.19,41.0,1.0
469,Buckeye,1,US,1554577562,33,33.37,-112.58,78.00800000000001,4.1
470,Winter Haven,1,US,1554577545,55,28.02,-81.73,89.99600000000005,3.1
471,Bathsheba,20,BB,1554573600,62,13.22,-59.52,84.2,10.3
472,Turukhansk,88,RU,1554577812,88,65.8,87.96,19.396400000000085,7.31
473,Galesong,20,ID,1554575400,100,-5.32,119.37,77.0,1.5
474,Arlit,0,NE,1554577812,21,18.74,7.39,91.84640000000009,2.76
475,Semnan,8,IR,1554577813,59,35.58,53.39,54.586400000000005,1.46
476,Vila Velha,75,BR,1554577692,74,-3.71,-38.6,82.4,6.7
477,Churapcha,8,RU,1554577813,74,62.0,132.43,17.956400000000066,1.26
478,Bajil,24,ES,1554577814,56,38.23,-2.07,48.19640000000008,5.66
479,Lipari,75,IT,1554577507,87,38.47,14.95,60.00800000000001,1.5
480,Tabas,0,IR,1554573600,37,33.6,56.92,69.80000000000001,2.1
481,Dangriga,75,BZ,1554577289,66,16.97,-88.23,87.99800000000002,4.1
482,Limbang,75,BN,1554575400,83,4.75,115.01,82.4,1.5
483,Faya,0,SA,1554573600,59,18.39,42.45,66.2,3.1
484,Vung Tau,56,VN,1554577657,99,10.35,107.08,81.76640000000005,4.96
485,Santa Maria,75,BR,1554573600,69,-29.69,-53.81,75.2,3.1
486,Jinka,80,ET,1554577817,44,5.79,36.57,75.10640000000006,0.26
487,Narrabri,0,AU,1554573600,59,-30.33,149.78,62.6,2.6
488,Koutsouras,88,GR,1554577689,93,35.03,25.95,62.00600000000003,0.89
489,Sao Joao da Barra,40,BR,1554573600,55,-21.64,-41.05,91.4,6.2
490,Timbuktu,36,ML,1554577818,17,16.77,-3.01,94.27640000000002,6.36
491,Benguela,76,AO,1554577818,97,-12.58,13.4,81.22640000000003,5.21
492,Anzio,75,IT,1554577812,81,41.45,12.63,55.99400000000007,0.5
493,Honiara,80,SB,1554577819,100,-9.43,159.96,74.56640000000004,0.36
494,Maragogi,64,BR,1554577674,75,-9.01,-35.22,85.36640000000006,4.96
495,Aizawl,12,IN,1554577819,91,23.74,92.72,64.66640000000004,0.76
496,Miandrivazo,36,MG,1554577820,95,-19.53,45.46,70.6964000000001,1.51
497,Datong,92,CN,1554577820,48,40.09,113.3,39.82640000000002,1.41
498,Aksu,0,KZ,1554575400,74,52.04,76.93,33.8,3.0
499,Manta,68,RO,1554577821,43,45.1,24.1,54.04640000000009,3.86
500,Matay,76,EG,1554577821,50,28.42,30.79,72.5864,2.41
501,Villarrica,0,CL,1554577270,72,-39.28,-72.23,68.0,2.1
502,Gjirokaster,0,AL,1554576600,72,40.08,20.14,60.8,1.0
503,Carutapera,92,BR,1554577772,91,-1.2,-46.02,79.96640000000005,3.01
504,kimparana,88,ML,1554577822,22,12.83,-4.92,99.04640000000009,2.41
505,Kamloops,75,CA,1554577206,54,50.68,-120.34,51.8,4.6
506,Makakilo City,1,US,1554577641,69,21.35,-158.09,77.0,2.06
507,Phan Thiet,64,VN,1554577800,95,10.93,108.1,80.50640000000007,5.11
508,Biltine,0,TD,1554577823,45,14.53,20.93,80.59640000000009,1.61
509,Malindi,0,KE,1554577824,86,-3.22,40.12,82.39640000000009,3.36
510,Carlyle,90,CA,1554577321,100,49.63,-102.27,35.00600000000003,8.2
511,Sungaipenuh,32,ID,1554577530,94,-2.08,101.38,67.72640000000003,0.56
512,Pacific Grove,90,US,1554577626,77,36.62,-121.92,66.99199999999999,2.6
513,Mengcheng,24,CN,1554577825,69,33.26,116.57,60.34640000000009,3.71
514,Anadyr,0,RU,1554577353,84,64.73,177.51,-2.001999999999974,2.0
515,Hervey Bay,0,AU,1554577820,88,-25.3,152.85,64.99400000000009,3.1
516,Vardo,1,US,1554577625,48,39.62,-77.74,66.99199999999999,1.5
517,Lubango,0,AO,1554577826,81,-14.92,13.49,71.59640000000009,1.11
518,Nexo,0,DK,1554574800,53,55.06,15.13,51.8,6.2
519,Mana,0,RS,1554575400,47,43.52,20.24,59.0,4.1
520,Broken Hill,0,AU,1554573600,52,-31.97,141.45,64.4,4.6
521,Barabai,76,ID,1554577827,97,-2.59,115.38,73.12640000000002,1.01
522,Nizhneangarsk,0,RU,1554577828,56,55.78,109.57,4.366400000000045,1.56
523,Turek,0,PL,1554577804,49,52.02,18.5,57.00200000000008,2.24
524,Puerto Madero,0,AR,1554577802,56,-34.61,-58.36,77.0,3.6
525,Karimpur,56,BD,1554577829,93,23.98,88.63,70.06640000000004,2.56
526,Henderson,75,US,1554577540,24,36.04,-114.98,71.6,3.1
527,Magistralnyy,0,RU,1554577830,66,56.17,107.45,9.226400000000023,0.96
528,Visby,32,SE,1554577285,65,57.64,18.3,44.00600000000003,4.1
529,Nevsehir,75,TR,1554574800,43,38.62,34.71,57.00200000000008,1.0
530,Alice Springs,0,AU,1554575400,48,-23.7,133.88,62.6,3.26
531,Mariestad,92,SE,1554577744,69,58.71,13.82,55.400000000000006,3.1
532,Thongwa,0,MM,1554573600,78,16.76,96.52,80.6,2.1
533,Colac,0,AU,1554577817,93,-38.34,143.59,48.992,0.96
534,Mizan Teferi,12,ET,1554577832,83,6.99,35.58,66.10640000000006,1.01
535,Williams Lake,75,CA,1554573600,52,52.13,-122.14,42.8,7.7
536,Antalaha,48,MG,1554577832,91,-14.9,50.28,79.60640000000006,3.76
537,Great Falls,75,US,1554577324,30,47.5,-111.29,53.6,12.3
538,Mao,75,DO,1554577500,45,19.55,-71.08,91.00400000000005,6.2
539,Buritizeiro,0,BR,1554577833,68,-17.37,-44.96,86.35640000000006,1.96
540,Mehriz,20,IR,1554573600,42,31.58,54.44,66.2,3.1
541,Jiangyou,0,CN,1554577834,81,31.78,104.73,51.88640000000001,0.71
542,Peniche,20,PT,1554577545,81,39.36,-9.38,53.99600000000005,3.6
543,Zaozhuang,88,CN,1554577834,71,34.86,117.55,58.00640000000007,6.06
544,Luba,8,PH,1554577835,85,17.32,120.7,70.24640000000008,1.91
545,Vaitape,64,PF,1554577835,96,-16.52,-151.75,85.09640000000009,6.71
546,Ipua,56,BR,1554577835,76,-20.44,-48.01,82.84640000000009,2.61
547,Bercel,0,HU,1554577813,100,47.87,19.4,51.998000000000026,1.0
